"name","county","town","category_guess","address","phone","website","email","google_rating","review_count","business_status","contact_source","google_maps_url","place_id","contact_quality","discovery_score","notes","ready_for_import","flag_reason","official_email","official_phone","whatsapp_number","facebook_url","contact_page","principal_name","deputy_name","ict_contact","admissions_contact","email_source","phone_source","website_source","facebook_source","contact_confidence","last_verified"
"2k","Kirinyaga","Baricho","Unknown","C6WH+WGQ, Baricho, Kenya","","","","","","OPERATIONAL","google_places","https://www.google.com/maps/place/?q=place_id:ChIJ9a8_F3ODKBgRAFoQJ_FDk0k","ChIJ9a8_F3ODKBgRAFoQJ_FDk0k","Unknown","0","No website; Phone missing","FALSE","junk/non-school Places entry; missing phone; missing email; missing website","","","","","","","","","","","","","","Unknown","2026-07-22"
"Alber School Kutus","Kirinyaga","Kutus","Unknown","C8GG+J42, Kutus, Kenya","+254 720 720659","","","4.3","70","OPERATIONAL","google_places","https://www.google.com/maps/place/?q=place_id:ChIJz2cg-H8pJhgRAq14hV0lup4","ChIJz2cg-H8pJhgRAq14hV0lup4","Low","60","No website; Currently closed (per Google)","FALSE","missing email; missing website","","","","","","","","","","","","","","Unknown","2026-07-22"
"All Saints Girls High School","Kirinyaga","Sagana","Girls","Sagana, Kenya","","","","","","OPERATIONAL","google_places","https://www.google.com/maps/place/?q=place_id:ChIJu_2WfKueKBgRX0yGBdUtB3k","ChIJu_2WfKueKBgRX0yGBdUtB3k","Unknown","0","No website; Phone missing","FALSE","missing phone; missing email; missing website","","","","","","","","","","","","","","Unknown","2026-07-22"
"All Saints Kianyaga Academy & Junior Secondary School","Kirinyaga","Kianyaga","Junior Secondary","Kirinyaga District Kianyaga KE, Kianyaga, Kenya","+254 727 242099","","","","","OPERATIONAL","google_places","https://www.google.com/maps/place/?q=place_id:ChIJoZQFUQ8rJhgRVBGpr0yZ3zU","ChIJoZQFUQ8rJhgRVBGpr0yZ3zU","Low","20","No website; Currently closed (per Google)","FALSE","missing email; missing website","","","","","","","","","","","","","","Unknown","2026-07-22"
"Arch-bishop Gitari Boarding School","Kirinyaga","Wanguru","Unknown","FCHH+VGP, Mururi, Kenya","+254 722 422983","","","","","OPERATIONAL","google_places","https://www.google.com/maps/place/?q=place_id:ChIJd39QZcotJhgRnFDDITrsUDc","ChIJd39QZcotJhgRnFDDITrsUDc","Low","20","No website","FALSE","missing email; missing website","","","","","","","","","","","","","","Unknown","2026-07-22"
"At peter’s Mwea Mixed secondary school","Kirinyaga","Wanguru","Mixed Day","886Q+4X7, Karima Village, Kenya","","","","","","OPERATIONAL","google_places","https://www.google.com/maps/place/?q=place_id:ChIJ27h7HAAhJhgR-VjTwL-Fr2A","ChIJ27h7HAAhJhgR-VjTwL-Fr2A","Unknown","0","No website; Phone missing","FALSE","missing phone; missing email; missing website","","","","","","","","","","","","","","Unknown","2026-07-22"
"Baricho East Secondary School","Kirinyaga","Baricho","Public Secondary","C6WR+8QW, Baricho, Kenya","","","","","","OPERATIONAL","google_places","https://www.google.com/maps/place/?q=place_id:ChIJQfU_iceDKBgRxUCBrqQarCY","ChIJQfU_iceDKBgRxUCBrqQarCY","Unknown","0","No website; Phone missing","FALSE","missing phone; missing email; missing website","","","","","","","","","","","","","","Unknown","2026-07-22"
"Baricho High School","Kirinyaga","Kutus","Public Secondary","C6WH+RRH, Unnamed Road, Baricho, Kenya","","","","","","OPERATIONAL","google_places","https://www.google.com/maps/place/?q=place_id:ChIJMV8FiNmDKBgRFKZdbn6B4k0","ChIJMV8FiNmDKBgRFKZdbn6B4k0","Unknown","0","No website; Phone missing; Currently closed (per Google)","FALSE","missing phone; missing email; missing website","","","","","","","","","","","","","","Unknown","2026-07-22"
"Baricho S.S.","Kirinyaga","Kutus","Unknown","Thiguku, Kenya","+254 707 419880","https://barichohighschool.sc.ke/","","","","OPERATIONAL","google_places","https://www.google.com/maps/place/?q=place_id:ChIJL4UlLD2DKBgRGqwG7ewnLKA","ChIJL4UlLD2DKBgRGqwG7ewnLKA","Medium","40","Website unreachable; Currently closed (per Google)","FALSE","missing email","","","","","","","","","","","","","","Unknown","2026-07-22"
"BISHOP KAIRO EDUCATION CENTRE PRI SCH","Kirinyaga","Sagana","Unknown","TOWNSHIP, Murang'a, Kenya","+254 728 966221","http://bishopkairoeducationcentre.sc.ke/","","","","OPERATIONAL","google_places","https://www.google.com/maps/place/?q=place_id:ChIJe_AkkAuZKBgRxDGWLHvLQhA","ChIJe_AkkAuZKBgRxDGWLHvLQhA","Medium","40","Website unreachable; Currently closed (per Google)","FALSE","out of scope: primary school; missing email","","","","","","","","","","","","","","Unknown","2026-07-22"
